pattern_number,title,pubdate,ipc,appl_no,applicant,inventor
102200057,SYSTEM AND METHOD FOR COOLING GAS TURBINE COMPONENT,CN - 28.09.2011,F02C 7/18,,,
111102073,SUPERCRITICAL CARBON DIOXIDE CIRCULATION SYSTEM SUITABLE FOR COAL GASIFICATION AND OPERATION METHOD THEREOF,CN - 05.05.2020,F02C 6/00,,,
WO/2000/004279,GAS AND STEAM TURBINE INSTALLATION,WO - 27.01.2000,F01K 23/06,,,
115059546,SOLID FUEL GAS TURBINE WITH SINGLE-CYLINDER COMBUSTION CHAMBER,CN - 16.09.2022,F02C 3/28,,,
105143638,气化发电设备的控制装置、气化发电设备、及气化发电设备的控制方法,CN - 09.12.2015,F02C 3/28,,,
101153557,METHOD AND APPARATUS OF GASIFICATION UNDER IGCC SYSTEM,CN - 02.04.2008,F02C 3/14,,,
218062466,GAS TURBINE WITH DOUBLE COMBUSTION PARTS,CN - 16.12.2022,F02C 3/28,,,
217976390,SOLID FUEL GAS TURBINE WITH SINGLE-CYLINDER COMBUSTION CHAMBER,CN - 06.12.2022,F02C 3/28,,,
115075946,GAS TURBINE WITH DOUBLE COMBUSTION PARTS,CN - 20.09.2022,F02C 3/28,,,
103328785,用于改进燃烧操作的系统和方法,CN - 25.09.2013,F02C 3/20,,,
WO/2008/124767,EMISSION FREE INTEGRATED GASIFICATION COMBINED CYCLE,WO - 16.10.2008,C10J 3/00,,,
WO/2011/163192,FLUIDIZATION DEVICE FOR SOLID FUEL PARTICLES,WO - 29.12.2011,C10J 3/50,,,
102099092,BACK WASHING DEVICE OF FILTER,CN - 15.06.2011,B01D 46/42,,,
103883400,发电方法和发电系统,CN - 25.06.2014,F02C 6/16,,,
112879178,SOLID ROCKET RAMJET BASED ON DETONATION COMBUSTION,CN - 01.06.2021,F02K 7/18,,,
WO/2020/095240,PROCESS AND SYSTEM FOR CONVERTING WASTE PLASTIC INTO POWER,WO - 14.05.2020,F02C 3/28,,,
102405340,利用来自气化器的合成气的方法,CN - 04.04.2012,F02C 3/34,,,
103764973,"METHOD FOR CONTROLLING GAS-TURBINE POWER PLANT, GAS-TURBINE POWER PLANT, METHOD FOR CONTROLLING OVEN FOR GASIFICATION OF CARBON-CONTAINING FUEL, AND OVEN FOR GASIFICATION OF CARBON-CONTAINING FUEL",CN - 30.04.2014,F02C 3/28,,,
101688474,INTEGRATED GASIFICATION COMBINED CYCLE PLANT,CN - 31.03.2010,F02C 3/28,,,
101338702,PULSE KNOCK ROTOR SPINDLE ENGINE,CN - 07.01.2009,F02C 7/36,,,
214366400,PEAK SHAVING SYSTEM SUITABLE FOR IGCC UNIT,CN - 08.10.2021,F02C 6/00,,,
104619971,METHOD AND PLANT FOR TRANSFERRING ENERGY FROM BIOMASS RAW MATERIAL TO AT LEAST ONE ENERGY USER,CN - 13.05.2015,F02C 3/28,,,
WO/1998/055811,AIR EXTRACTION IN A GASIFICATION PROCESS,WO - 10.12.1998,F01K 23/06,,,
WO/2001/053660,GAS AND STEAM TURBINE INSTALLATION,WO - 26.07.2001,F01K 23/06,,,
217976389,GAS TURBINE UTILIZING SOLID FUEL,CN - 06.12.2022,F02C 3/28,,,
WO/2014/175405,"GASIFICATION POWER PLANT CONTROL DEVICE, GASIFICATION POWER PLANT, AND GASIFICATION POWER PLANT CONTROL METHOD",WO - 30.10.2014,F02C 3/28,,,
102112717,INTEGRATED COAL GASIFICATION COMBINED CYCLE POWER GENERATION FACILITY,CN - 29.06.2011,F02C 3/28,,,
106121822,COAL GASIFICATION DISTRIBUTED ENERGY SYSTEM AND RUNNING METHOD THEREOF,CN - 16.11.2016,F02C 6/00,,,
108350806,GAS TURBINE SYSTEM,CN - 31.07.2018,F02C 3/22,,,
102465763,集成涡轮机氧气设备,CN - 23.05.2012,F02C 7/18,,,
101449040,"GOAL GASIFICATION COMPOSITE POWER GENERATING SYSTEM, AND ITS RUNNING CONTROL METHOD",CN - 03.06.2009,F02C 9/28,,,
102234547,WATER GAS SHIFT REACTOR SYSTEM FOR INTEGRATED GASIFICATION COMBINED CYCLE POWER GENERATION SYSTEMS,CN - 09.11.2011,F02C 3/28,,,
101495731,METHOD FOR OPERATING A POWER STATION WITH INTEGRATED COAL GASIFICATION AND POWER STATION,CN - 29.07.2009,F02C 3/28,,,
115075947,GAS TURBINE UTILIZING SOLID FUEL,CN - 20.09.2022,F02C 3/28,,,
101238341,METHOD FOR OPERATING A GAS TURBINE AND A GAS TURBINE FOR IMPLEMENTING THE METHOD,CN - 06.08.2008,F25J 3/04,,,
WO/1997/021914,A POWER PLANT,WO - 19.06.1997,F02C 3/20,,,
102906394,气化发电设备,CN - 30.01.2013,F02C 3/28,,,
109072780,"CARBON-CONTAINING SOLID FUEL GASIFICATION POWER GENERATION FACILITY, AND METHOD FOR REGULATING GAS FOR DRYING CARBON-CONTAINING SOLID FUEL",CN - 21.12.2018,F02C 3/28,,,
218062467,GAS TURBINE UTILIZING SOLID FUEL,CN - 16.12.2022,F02C 3/28,,,
102272428,ENGINE,CN - 07.12.2011,F02C 3/28,,,
101842466,INTEGRATION OF AN INTEGRATED GASIFICATION COMBINED CYCLE POWER PLANT AND COAL TO LIQUID FACILITY,CN - 22.09.2010,C10J 3/00,,,
102817713,COMBUSTIBLE-ICE POWER GENERATION EQUIPMENT,CN - 12.12.2012,F02C 6/00,,,
111441866,SYSTEM FOR REDUCING NOX EMISSION OF SYNTHESIS GAS TURBINE,CN - 24.07.2020,F02C 3/30,,,
115059544,GAS TURBINE WITH DOUBLE COMBUSTION PARTS,CN - 16.09.2022,F02C 3/28,,,
115075945,GAS TURBINE UTILIZING SOLID FUEL,CN - 20.09.2022,F02C 3/28,,,
WO/2010/073779,BACK WASHING DEVICE OF FILTER,WO - 01.07.2010,B01D 46/42,,,
206016977,COAL GASIFICATION DISTRIBUTED ENERGY SYSTEM,CN - 15.03.2017,F02C 6/00,,,
102015086,METHODS AND SYSTEMS FOR FEED INJECTOR MULTI-COOLING CHANNEL,CN - 13.04.2011,B01J 4/00,,,
108644017,ZERO-CARBON-EMISSION IGCC POWER GENERATION SYSTEM AND METHOD BASED ON HEAT INTEGRATION,CN - 12.10.2018,F02C 6/18,,,
WO/2008/012117,METHOD FOR OPERATING A POWER STATION WITH INTEGRATED COAL GASIFICATION AND POWER STATION,WO - 31.01.2008,F02C 3/28,,,
211116272,SUPERCRITICAL CARBON DIOXIDE CIRCULATING DEVICE SUITABLE FOR COAL GASIFICATION,CN - 28.07.2020,F02C 6/00,,,
WO/2008/149731,INTEGRATED GASIFICATION COMBINED CYCLE PLANT,WO - 11.12.2008,F02C 3/28,,,
101479454,GAS TURBINE POWER GENERATION SYSTEM AND METHOD OF DETECTING ITS CALORIE ABNORMALITY,CN - 08.07.2009,F02C 7/00,,,
WO/2008/056781,"GOAL GASIFICATION COMPOSITE POWER GENERATING SYSTEM, AND ITS RUNNING CONTROL METHOD",WO - 15.05.2008,F02C 9/28,,,
WO/2017/199818,"CARBON-CONTAINING SOLID FUEL GASIFICATION POWER GENERATION FACILITY, AND METHOD FOR REGULATING GAS FOR DRYING CARBON-CONTAINING SOLID FUEL",WO - 23.11.2017,F02C 3/28,,,
WO/2010/050270,INTEGRATED COAL GASIFICATION COMBINED CYCLE POWER GENERATION FACILITY,WO - 06.05.2010,F02C 3/28,,,
WO/2010/082360,ENGINE,WO - 22.07.2010,F02C 3/28,,,
WO/2009/036458,INTEGRATION OF AN INTEGRATED GASIFICATION COMBINED CYCLE POWER PLANT AND COAL TO LIQUID FACILITY,WO - 19.03.2009,C10J 3/00,,,
WO/2017/084876,A GAS TURBINE SYSTEM,WO - 26.05.2017,F02C 3/22,,,
WO/2009/134539,METHODS AND SYSTEMS FOR FEED INJECTOR MULTI-COOLING CHANNEL,WO - 05.11.2009,B01J 4/00,,,
WO/2007/017490,"METHOD FOR OPERATING A GAS TURBINE, AND GAS TURBINE FOR CARRYING OUT THE METHOD",WO - 15.02.2007,F25J 3/04,,,
WO/2011/145690,GASIFICATION POWER GENERATION PLANT,WO - 24.11.2011,F02C 3/28,,,
109322744,COAL GASIFICATION SUPERCRITICAL CARBON DIOXIDE POWER GENERATION SYSTEM AND METHOD CAPABLE OF REALIZING WASTE HEAT RECOVERY,CN - 12.02.2019,F02C 6/00,,,
103958853,METHOD AND APPARATUS FOR SUPPLYING A COMBUSTION CHAMBER WITH NITROGEN,CN - 30.07.2014,F02C 3/28,,,
102625877,METHOD AND DEVICE FOR CONVERTING THERMAL ENERGY FROM BIOMASS INTO MECHANICAL WORK,CN - 01.08.2012,F02C 3/28,,,
103814118,PROCESS FOR THE GASIFICATION OF HEAVY RESIDUAL OIL WITH PARTICULATE COKE FROM DELAYED COKING UNIT,CN - 21.05.2014,C10J 3/46,,,
209053696,COAL GASIFICATION SUPERCRITICAL CARBON DIOXIDE POWER GENERATION SYSTEM FOR WASTE HEAT RECOVERY,CN - 02.07.2019,F02C 6/00,,,
